id,level,name,type,parent_id
nom_2511,3,TWEE - Tweezers,Mandatory,PTOO - Tools
nom_2512,3,"TYFB - Typhoid Fever, Book",Mandatory,L004 - Bacterial Infectious Diseases
nom_2513,3,TYPE - Typewriter accessories,Mandatory,ASTA - Stationery
nom_2514,3,TYR+ - Tyre for Land Cruiser,Mandatory,TVEC - Vehicles Consumables
nom_2515,3,"TYRA - Tyre, all terrain profile",Mandatory,TVEC - Vehicles Consumables
nom_2516,3,"TYRH - Tyre, heavy duty profile",Mandatory,TVEC - Vehicles Consumables
nom_2517,3,"TYRM - Tyre, mud profile",Mandatory,TVEC - Vehicles Consumables
nom_2518,3,"TYRS - Tyre, sand profile",Mandatory,TVEC - Vehicles Consumables
nom_2519,3,ULCB - Buruli Ulcer Book,Mandatory,L004 - Bacterial Infectious Diseases
nom_2520,3,"ULTB - Ultrasound, Book",Mandatory,L012 - Radiology - Medical Imaging
nom_2521,3,ULTS - Ultrasound scanner,Mandatory,EDIM - Diagnostic Imaging equipment
nom_2522,3,UMBC - Umbilical Cord / Clamp,Mandatory,SDRE - Dressings
nom_2523,3,UN62 - UN packaging for class 6.2,Mandatory,PPAC - Packing And Handling
nom_2524,3,UPSD - UPS double conversion,Mandatory,PELE - Electricity
nom_2525,3,UPSD - UPS for desktop,Mandatory,ADAP - Data Processing
nom_2526,3,"URBG - Urbain health, Guide",Mandatory,L025 - Health Services Management
nom_2527,3,URIN - Urinal Bottle,Mandatory,EMEQ - Medical Equipment
nom_2528,3,"URIS - Urine, diagnostic strips",Mandatory,DDGT - Diagnostic tests
nom_2529,3,VACE - Vaccuum Extractor,Mandatory,EHOE - Hospital Equipment
nom_2530,3,VALB - Ball valve,Mandatory,CWAT - Water And Sanitation
nom_2531,3,VALD - Valve Of Digbyleight,Mandatory,EANE - Anaesthesia
nom_2532,3,VALG - Gate valve,Mandatory,CWAT - Water And Sanitation
nom_2533,3,VALL - Valve lifter,Mandatory,PTOO - Tools
nom_2534,3,VALP - VALPROATE SODIUM,Mandatory,DORA - Oral Drugs
nom_2535,3,VALV - Valve,Mandatory,CWAT - Water And Sanitation
nom_2536,3,VARN - Varnish,Mandatory,PPAI - Paint
nom_2537,3,VBCG - Vaccine Bcg,Mandatory,DVAC - Vaccines
nom_2538,3,VCHO - Vaccine cholera,Mandatory,DVAC - Vaccines
nom_2539,3,VCTB - Volontary counselling & testing,Mandatory,L007 - Std - Aids
nom_2540,3,"VDHH - Vaccine, DPT+hepatitis B+Hib",Mandatory,DVAC - Vaccines
nom_2541,3,VDPT - Vaccine Dpt/Dptp,Mandatory,DVAC - Vaccines
nom_2542,3,"VDTB - Vaccine, diptheria/tetanus, booster",Mandatory,DVAC - Vaccines
nom_2543,3,VDTE - Vaccine Diphteria/Tetanus,Mandatory,DVAC - Vaccines
nom_2544,3,"VECB - Vector, Book",Mandatory,L018 - Water & Sanitation
nom_2545,3,VECB - Vecuronium,Mandatory,DINJ - Injectable Drugs
nom_2546,3,VENC - Vaccine Japonese Encephalitis,Mandatory,DVAC - Vaccines
nom_2547,3,VENT - Vacuum extractor,Mandatory,EMEQ - Medical Equipment
